r_mm,sag1_mm,min_sag1_mm,max_sag1_mm,sag2_mm,min_sag2_mm,max_sag2_mm
0.041,0,-0.01,0.01,-0.151932300607557,-0.161932300607557,-0.141932300607557
0.042,0,-0.01,0.01,-0.151965048138127,-0.161965048138127,-0.141965048138127
0.043,0,-0.01,0.01,-0.151997777026463,-0.161997777026463,-0.141997777026463
0.044,0,-0.01,0.01,-0.152030487272566,-0.162030487272566,-0.142030487272566
0.045,0,-0.01,0.01,-0.152063178876436,-0.162063178876436,-0.142063178876436
0.046,0,-0.01,0.01,-0.152095851838072,-0.162095851838072,-0.142095851838072
0.047,0,-0.01,0.01,-0.152128506157475,-0.162128506157475,-0.142128506157475
0.048,0,-0.01,0.01,-0.152161141834645,-0.162161141834645,-0.142161141834645
0.049,0,-0.01,0.01,-0.152193758869582,-0.162193758869582,-0.142193758869582
0.05,0,-0.01,0.01,-0.152226357262285,-0.162226357262285,-0.142226357262285
0.051,0,-0.01,0.01,-0.152258937012756,-0.162258937012756,-0.142258937012755
0.052,0,-0.01,0.01,-0.152291498120992,-0.162291498120992,-0.142291498120992
0.053,0,-0.01,0.01,-0.152324040586996,-0.162324040586996,-0.142324040586996
0.054,0,-0.01,0.01,-0.152356564410766,-0.162356564410766,-0.142356564410766
0.055,0,-0.01,0.01,-0.152389069592303,-0.162389069592303,-0.142389069592303
0.056,0,-0.01,0.01,-0.152421556131607,-0.162421556131607,-0.142421556131607
0.057,0,-0.01,0.01,-0.152454024028678,-0.162454024028678,-0.142454024028678
0.058,0,-0.01,0.01,-0.152486473283515,-0.162486473283515,-0.142486473283515
0.059,0,-0.01,0.01,-0.152518903896119,-0.162518903896119,-0.142518903896119
0.06,0,-0.01,0.01,-0.15255131586649,-0.16255131586649,-0.14255131586649
0.061,0,-0.01,0.01,-0.152583709194628,-0.162583709194628,-0.142583709194628
0.062,0,-0.01,0.01,-0.152616083880532,-0.162616083880532,-0.142616083880532
0.063,0,-0.01,0.01,-0.152648439924203,-0.162648439924203,-0.142648439924203
0.064,0,-0.01,0.01,-0.152680777325641,-0.162680777325641,-0.142680777325641
0.065,0,-0.01,0.01,-0.152713096084845,-0.162713096084845,-0.142713096084845
0.066,0,-0.01,0.01,-0.152745396201816,-0.162745396201816,-0.142745396201816
0.067,0,-0.01,0.01,-0.152777677676554,-0.162777677676554,-0.142777677676554
0.068,0,-0.01,0.01,-0.152809940509059,-0.162809940509059,-0.142809940509059
0.069,0,-0.01,0.01,-0.15284218469933,-0.16284218469933,-0.14284218469933
0.07,0,-0.01,0.01,-0.152874410247369,-0.162874410247369,-0.142874410247369
0.071,0,-0.01,0.01,-0.152906617153174,-0.162906617153174,-0.142906617153174
0.072,0,-0.01,0.01,-0.152938805416745,-0.162938805416745,-0.142938805416745
0.073,0,-0.01,0.01,-0.152970975038084,-0.162970975038084,-0.142970975038084
0.074,0,-0.01,0.01,-0.153003126017189,-0.163003126017189,-0.143003126017189
0.075,0,-0.01,0.01,-0.153035258354061,-0.163035258354061,-0.143035258354061
0.076,0,-0.01,0.01,-0.153067372048699,-0.163067372048699,-0.143067372048699
0.077,0,-0.01,0.01,-0.153099467101105,-0.163099467101105,-0.143099467101105
0.078,0,-0.01,0.01,-0.153131543511277,-0.163131543511277,-0.143131543511277
0.079,0,-0.01,0.01,-0.153163601279216,-0.163163601279216,-0.143163601279216
0.08,0,-0.01,0.01,-0.153195640404921,-0.163195640404921,-0.143195640404921
0.081,0,-0.01,0.01,-0.153227660888394,-0.163227660888394,-0.143227660888394
0.082,0,-0.01,0.01,-0.153259662729633,-0.163259662729633,-0.143259662729633
0.083,0,-0.01,0.01,-0.153291645928638,-0.163291645928638,-0.143291645928638
0.084,0,-0.01,0.01,-0.153323610485411,-0.163323610485411,-0.143323610485411
0.085,0,-0.01,0.01,-0.15335555639995,-0.16335555639995,-0.14335555639995
0.086,0,-0.01,0.01,-0.153387483672256,-0.163387483672256,-0.143387483672256
