r_mm,sag1_mm,min_sag1_mm,max_sag1_mm,sag2_mm,min_sag2_mm,max_sag2_mm
0,0,-0.01,0.01,-0.331163932919541,-0.341163932919541,-0.321163932919541
0.001,0,-0.01,0.01,-0.331230885311984,-0.341230885311984,-0.321230885311984
0.002,0,-0.01,0.01,-0.331297800530379,-0.341297800530379,-0.321297800530379
0.003,0,-0.01,0.01,-0.331364678574727,-0.341364678574727,-0.321364678574727
0.004,0,-0.01,0.01,-0.331431519445028,-0.341431519445028,-0.321431519445028
0.005,0,-0.01,0.01,-0.331498323141281,-0.341498323141281,-0.321498323141281
0.006,0,-0.01,0.01,-0.331565089663486,-0.341565089663486,-0.321565089663486
0.007,0,-0.01,0.01,-0.331631819011644,-0.341631819011644,-0.321631819011644
0.008,0,-0.01,0.01,-0.331698511185755,-0.341698511185755,-0.321698511185755
0.009,0,-0.01,0.01,-0.331765166185818,-0.341765166185818,-0.321765166185818
0.01,0,-0.01,0.01,-0.331831784011833,-0.341831784011833,-0.321831784011833
0.011,0,-0.01,0.01,-0.331898364663802,-0.341898364663802,-0.321898364663802
0.012,0,-0.01,0.01,-0.331964908141722,-0.341964908141722,-0.321964908141722
0.013,0,-0.01,0.01,-0.332031414445596,-0.342031414445596,-0.322031414445596
0.014,0,-0.01,0.01,-0.332097883575421,-0.342097883575421,-0.322097883575421
0.015,0,-0.01,0.01,-0.3321643155312,-0.3421643155312,-0.3221643155312
0.016,0,-0.01,0.01,-0.33223071031293,-0.342230710312931,-0.32223071031293
0.017,0,-0.01,0.01,-0.332297067920614,-0.342297067920614,-0.322297067920614
0.018,0,-0.01,0.01,-0.33236338835425,-0.34236338835425,-0.32236338835425
0.019,0,-0.01,0.01,-0.332429671613838,-0.342429671613838,-0.322429671613838
0.02,0,-0.01,0.01,-0.332495917699379,-0.342495917699379,-0.322495917699379
0.021,0,-0.01,0.01,-0.332562126610873,-0.342562126610873,-0.322562126610873
0.022,0,-0.01,0.01,-0.332628298348319,-0.342628298348319,-0.322628298348319
0.023,0,-0.01,0.01,-0.332694432911718,-0.342694432911718,-0.322694432911718
0.024,0,-0.01,0.01,-0.332760530301069,-0.342760530301069,-0.322760530301069
0.025,0,-0.01,0.01,-0.332826590516372,-0.342826590516372,-0.322826590516372
0.026,0,-0.01,0.01,-0.332892613557629,-0.342892613557629,-0.322892613557629
0.027,0,-0.01,0.01,-0.332958599424837,-0.342958599424837,-0.322958599424837
0.028,0,-0.01,0.01,-0.333024548117999,-0.343024548117999,-0.323024548117999
0.029,0,-0.01,0.01,-0.333090459637113,-0.343090459637113,-0.323090459637113
0.03,0,-0.01,0.01,-0.333156333982179,-0.343156333982179,-0.323156333982179
0.031,0,-0.01,0.01,-0.333222171153198,-0.343222171153198,-0.323222171153198
0.032,0,-0.01,0.01,-0.333287971150169,-0.343287971150169,-0.323287971150169
0.033,0,-0.01,0.01,-0.333353733973093,-0.343353733973093,-0.323353733973093
0.034,0,-0.01,0.01,-0.33341945962197,-0.34341945962197,-0.32341945962197
0.035,0,-0.01,0.01,-0.333485148096799,-0.343485148096799,-0.323485148096799
0.036,0,-0.01,0.01,-0.333550799397581,-0.34355079939758,-0.323550799397581
0.037,0,-0.01,0.01,-0.333616413524315,-0.343616413524315,-0.323616413524315
0.038,0,-0.01,0.01,-0.333681990477001,-0.343681990477001,-0.323681990477001
0.039,0,-0.01,0.01,-0.333747530255641,-0.343747530255641,-0.323747530255641
0.04,0,-0.01,0.01,-0.333813032860232,-0.343813032860232,-0.323813032860232
0.041,0,-0.01,0.01,-0.333878498290777,-0.343878498290777,-0.323878498290777
0.042,0,-0.01,0.01,-0.333943926547273,-0.343943926547273,-0.323943926547273
0.043,0,-0.01,0.01,-0.334009317629723,-0.344009317629723,-0.324009317629723
0.044,0,-0.01,0.01,-0.334074671538125,-0.344074671538125,-0.324074671538125
0.045,0,-0.01,0.01,-0.334139988272479,-0.344139988272479,-0.324139988272479
0.046,0,-0.01,0.01,-0.334205267832786,-0.344205267832786,-0.324205267832786
0.047,0,-0.01,0.01,-0.334270510219046,-0.344270510219046,-0.324270510219046
0.048,0,-0.01,0.01,-0.334335715431258,-0.344335715431258,-0.324335715431258
0.049,0,-0.01,0.01,-0.334400883469422,-0.344400883469422,-0.324400883469422
0.05,0,-0.01,0.01,-0.334466014333539,-0.344466014333539,-0.324466014333539
0.051,0,-0.01,0.01,-0.334531108023609,-0.344531108023609,-0.324531108023609
0.052,0,-0.01,0.01,-0.334596164539631,-0.344596164539631,-0.324596164539631
0.053,0,-0.01,0.01,-0.334661183881606,-0.344661183881606,-0.324661183881606
0.054,0,-0.01,0.01,-0.334726166049533,-0.344726166049533,-0.324726166049533
0.055,0,-0.01,0.01,-0.334791111043413,-0.344791111043413,-0.324791111043413
0.056,0,-0.01,0.01,-0.334856018863245,-0.344856018863245,-0.324856018863245
